"";"0901";"0902";"0903";"0904";"0905";"0908";"0909";"0910";"0911";"0912";"0913";"0914";"0915";"0916";"0917";"0918";"0919";"0920"
"901";0;1;1;0;0;0;0;1;1;1;1;0;1;0;0;0;1;0
"902";1;0;1;0;0;0;0;1;1;1;1;0;1;0;0;1;1;0
"903";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
"904";0;0;0;0;1;0;0;0;0;1;0;1;1;1;1;0;0;1
"905";0;0;0;1;0;0;0;0;0;1;0;1;1;1;1;0;0;1
"908";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"909";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"910";1;1;1;0;0;0;0;0;1;1;1;0;1;0;1;1;1;0
"911";1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0
"912";1;1;1;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1
"913";1;1;1;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0
"914";0;0;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0
"915";0;1;0;1;0;0;0;0;1;1;0;1;0;0;1;1;1;0
"916";0;0;0;1;1;0;0;0;0;1;0;1;1;0;1;0;0;1
"917";0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
"918";1;1;1;0;0;0;0;1;1;1;1;0;1;0;1;0;1;0
"919";1;1;1;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0
"920";1;0;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0
