"";"0301";"0302";"0303";"0304";"0305";"0306";"0308";"0309";"0310";"0311";"0312";"0313";"0314";"0315";"0316";"0317";"0318";"0319";"0320";"0321"
"301";0;1;0;1;0;1;1;0;0;1;1;1;0;1;0;1;0;1;1;0
"302";1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
"303";0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;1
"304";1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
"305";0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;1;1
"306";0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1
"308";1;1;0;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0
"309";0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1
"310";0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
"311";1;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0
"312";1;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0
"313";1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"314";0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
"315";1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0
"316";0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;1
"317";1;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
"318";0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1
"319";0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;1;1
"320";0;0;1;0;1;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1
"321";0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;1;0
