"";"0201";"0202";"0203";"0204";"0205";"0206";"0207";"0208";"0210";"0211";"0212";"0213";"0214";"0216";"0217";"0218";"0219";"0220";"0221";"0222";"0223";"0225";"0226"
"201";0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1
"202";1;0;0;0;1;0;0;0;0;1;0;1;0;0;1;0;1;1;0;1;1;1;0
"203";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1
"204";0;0;1;0;0;1;1;1;0;0;1;0;1;1;0;0;1;0;0;1;0;1;1
"205";0;1;0;0;0;0;1;1;1;1;1;1;0;1;1;0;1;1;0;1;1;1;1
"206";1;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1
"207";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1
"208";1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1
"210";0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0
"211";0;1;0;0;1;0;1;1;0;1;0;1;0;0;0;0;1;1;1;0;0;1;1
"212";0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"213";0;1;0;0;1;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;0
"214";0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0
"216";0;0;1;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"217";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
"218";0;1;0;0;0;0;0;0;1;1;1;1;0;1;0;0;0;1;0;0;1;0;1
"219";0;0;0;1;1;0;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;1;1
"220";0;1;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;0;1;0
"221";1;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"222";1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0
"223";0;1;0;0;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1
"225";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1
"226";0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0
